date,guardian_adjustedwordcount,guardian_adjustedarticlecount,financialtimes_adjustedwordcount,financialtimes_adjustedarticleco,dailymail_adjustedwordcount,dailymail_adjustedarticlecount,independent_adjustedwordcount,independent_adjustedarticlecount
"2005-01-03",.5939474,.5915904,.7243448,.7173986,.7417956,.7391043,.4295961,.4295961
"2005-01-04",.6509373,.6229732,.6192957,.624097,.6311213,.6267369,.7035242,.6360109
"2005-01-05",.6252525,.6164373,.6259968,.6224821,.6794782,.6377832,.5705741,.6020586
"2005-01-06",.7866042,.7703021,.6156327,.5925107,,,.7334569,.7201203
"2005-01-07",.6657786,.5804552,.5993075,.6056462,.6757786,.6545833,.6131987,.5877198
"2005-01-10",.7264236,.6745519,.636306,.6275827,.7370536,.7742876,.7211136,.6506172
"2005-01-11",.6436141,.6304373,.6356076,.6382034,.6801564,.6615393,.6686031,.620289
"2005-01-12",.5810317,.6109493,.617927,.6167199,.6671973,.6866789,.7463012,.5790673
"2005-01-13",.6626744,.6387469,.6589761,.6151509,.7739484,.7586245,.5881773,.5263922
"2005-01-14",.7267617,.675958,.6167827,.6167653,.6764049,.6664512,.6591325,.5983406
"2005-01-17",.8159542,.7692567,.7020059,.6997814,.5835665,.5399154,.5934945,.5586917
"2005-01-18",.7027215,.6966045,.635096,.6333564,.6958075,.7195159,.6113365,.5483562
"2005-01-19",.6864027,.6801069,.6028249,.6101568,.6828716,.6794053,.6327709,.6125087
"2005-01-20",.6591037,.6416278,.6302081,.6200097,.7474143,.6976818,.6809006,.5974722
"2005-01-21",.6969106,.728067,.6360411,.6342652,.6966019,.7043848,.6414545,.5163621
"2005-01-24",.7541595,.6969531,.6722273,.6696078,.8411754,.8411754,.7516433,.7238852
"2005-01-25",.7007645,.666701,.5711443,.5927345,.6701466,.668723,.5403308,.4551423
"2005-01-26",.6171944,.6669209,.6458687,.6329893,.7137626,.7092417,.7483332,.6936341
"2005-01-27",.6905071,.6809679,.6074243,.5993442,.7090157,.6762608,.7059888,.6787499
"2005-01-28",.559658,.5634409,.5840404,.568216,.6272457,.6162872,.5496639,.5564157
"2005-01-31",.7416685,.7270656,.630972,.6326451,.6334097,.6480599,.7719772,.673812
"2005-02-01",.6729497,.6792412,.6225709,.6110262,.7548875,.756984,.6002973,.5937944
"2005-02-02",.7023275,.6665901,.6401657,.6279026,.6714474,.678515,.6552799,.6004232
"2005-02-03",.7312279,.7379489,.6398236,.6387056,.7555642,.7538491,.7123832,.6272537
"2005-02-04",.5917609,.6057271,.5957953,.5956028,.6631653,.6620206,.4757316,.4635699
"2005-02-07",.6585497,.6566892,.6750034,.6579785,.6893321,.7082176,.6508222,.6140251
"2005-02-08",.6322602,.6436595,.6287273,.6239701,.7519849,.7658778,.6107981,.5225901
"2005-02-09",.6638486,.6406456,.5811685,.5720358,.694904,.7167399,.6469784,.5926908
"2005-02-10",.7880164,.7391226,.629976,.6327214,.757045,.7563775,.7163835,.6503752
"2005-02-11",.4956193,.4960409,.5935271,.5717814,.659945,.5660647,.5079759,.5080218
"2005-02-14",.7332868,.7193723,.6444977,.6468139,.7212467,.7212467,.6968679,.6348598
"2005-02-15",.6155605,.6008769,.6387523,.6234816,.6233939,.6732007,.618488,.5774301
"2005-02-16",.5996184,.6542577,.647125,.6423156,.6553672,.6574265,.6348339,.6628062
"2005-02-17",.6831408,.6658095,.6040804,.6084722,.6652428,.6442901,.6920872,.6342342
"2005-02-18",.6782651,.6253464,.6158808,.6000476,.7454442,.7085988,.5510249,.5733071
"2005-02-21",.5972678,.638606,.6361806,.6175795,.7346547,.7346547,.6476888,.592802
"2005-02-22",.6751007,.6751007,.6301614,.629054,.784256,.784256,.5461577,.5683756
"2005-02-23",.6420571,.6258956,.6171191,.6071985,.681219,.6746138,.6032252,.6364071
"2005-02-24",.5619048,.5701903,.5862544,.5745514,.5180627,.5223515,.5969312,.5642502
"2005-02-25",.614839,.6195018,.5650266,.5634135,.8310995,.8310995,.6431754,.5600374
"2005-02-28",.558225,.5657107,.6461172,.6457799,.6361695,.6523191,.7146016,.6200321
"2005-03-01",.7337517,.7168351,.6122965,.6222213,.7816067,.7816067,.5819441,.5797308
"2005-03-02",.7157539,.6684229,.6200631,.6101351,.6263607,.6582597,.5554463,.5743361
"2005-03-03",.673641,.591359,,,.6458548,.6741379,.7154945,.6103977
"2005-03-04",.7294191,.7294191,,,.7080124,.6957915,.6532339,.600904
"2005-03-07",.772497,.7501082,,,.7733688,.7639543,.6602882,.6565714
"2005-03-08",.6320658,.6388747,,,.7279829,.7279829,.5570329,.4985122
"2005-03-09",.6524583,.63086,,,.6447791,.6524812,.6894861,.5741326
"2005-03-10",.5751967,.6145782,,,.6976275,.6976275,.7547262,.5914097
"2005-03-11",.6779896,.6762199,,,.5445936,.5947036,.6313398,.5635367
"2005-03-14",.634792,.5983778,,,.5959102,.5959102,.8205757,.761687
"2005-03-15",.6321654,.6852484,,,.6210658,.6251463,.4909723,.5193151
"2005-03-16",.3180988,.3180988,.5658638,.564494,.6751987,.6853429,.7155406,.6653466
"2005-03-17",.6884335,.6921248,.6657828,.6529584,.6664292,.7178017,.6187758,.5780216
"2005-03-18",.6068246,.595062,.5938984,.5971478,.5844557,.5781021,.6121807,.5755306
"2005-03-21",.6430469,.6649938,.6981703,.6864311,,,.6318446,.6348412
"2005-03-22",.7405192,.7120578,.6651434,.6394975,.7168939,.698334,.7351213,.6155967
"2005-03-23",.6476094,.6493809,.6045156,.602945,.7029514,.7138017,.7288684,.6806312
"2005-03-24",.4730527,.4751646,.6285896,.6239493,.567633,.5440904,.615132,.6104545
"2005-03-25",.4679752,.4607561,,,.5650947,.575911,.6673567,.6351403
"2005-03-28",.6309093,.6320292,,,.7282488,.6959808,.5279492,.5279492
