date,Guardian_adjustedWordCount,Guardian_adjustedArticleCount,Guardian_thresholdedWordCount,Guardian_thresholdedArticleCount,FinancialTimes_adjustedWordCount,FinancialTimes_adjustedArticleCount,FinancialTimes_thresholdedWordCount,FinancialTimes_thresholdedArticleCount,DailyMail_adjustedWordCount,DailyMail_adjustedArticleCount,DailyMail_thresholdedWordCount,DailyMail_thresholdedArticleCount,Independent_adjustedWordCount,Independent_adjustedArticleCount,Independent_thresholdedWordCount,Independent_thresholdedArticleCount
2005-01-03,0.05737551,0.05523245,0.04334754,0.03092783,0.18420876,0.18718912,0.22875923,0.20930232,0.03449109,0.04088584,0.00716229,0.01324503,0.03703072,0.03778475,0.00239464,0.00564971
2005-01-04,0.05602776,0.06403678,0.03594528,0.04895104,0.16678973,0.16945216,0.15375709,0.16560509,0.04280661,0.04971274,0.01900516,0.02985074,0.04861286,0.05832854,0.02961154,0.04458598
2005-01-05,0.05918977,0.06536281,0.02884253,0.03030303,0.19346494,0.19181787,0.22276927,0.20618556,0.07024744,0.09076802,0.03639851,0.05072463,0.08395869,0.09566573,0.07628514,0.07772020
2005-01-06,0.05065337,0.05154747,0.00962056,0.01578947,0.19097409,0.18382008,0.23444161,0.19125683,0.04196214,0.05143324,.,.,0.06441899,0.07310222,0.03380386,0.03614457
2005-01-07,0.05042659,0.06586117,0.01265518,0.03726708,0.17439984,0.17986851,0.16751486,0.15920398,0.04011464,0.04970837,0.00571206,0.01875,0.05043256,0.06049099,0.01513120,0.03286384
2005-01-10,0.06145572,0.06196849,0.03226995,0.04316546,0.18587851,0.17837852,0.18907032,0.16666666,0.02535375,0.03614122,0.00357031,0.01052631,0.03936821,0.04341873,0.02238011,0.01612903
2005-01-11,0.06162465,0.05577836,0.02166412,0.01724137,0.17920246,0.18386788,0.21966803,0.21397379,0.03981342,0.05053893,0.01247694,0.01265822,0.05804506,0.07145602,0.04122863,0.06598984
2005-01-12,0.06287246,0.07061439,0.00716718,0.02469135,0.17866815,0.18894825,0.19795644,0.21186440,0.05755884,0.07090685,0.02680176,0.03608247,0.05909172,0.07686928,0.02020528,0.04390243
2005-01-13,0.06225350,0.06744691,0.02360373,0.02985074,0.18445458,0.17703299,0.20311095,0.17826086,0.04533593,0.05714688,0.02146688,0.01910828,0.06659923,0.07566539,0.03963039,0.04716981
2005-01-14,0.05268801,0.06223748,0.02873762,0.03125,0.19632855,0.19294541,0.19675577,0.18614718,0.03911456,0.05202637,0.00743899,0.01694915,0.05374828,0.06407694,0.02844407,0.03720930
2005-01-17,0.04762150,0.04809323,0.01872799,0.01734104,0.18097329,0.18358672,0.15915015,0.17297297,0.03398960,0.04046408,0.00633906,0.01136363,0.04404497,0.05408159,0.02557865,0.02617801
2005-01-18,0.05000379,0.05350293,0.01112495,0.01273885,0.19017795,0.18409987,0.24646516,0.20704845,0.05520852,0.06141053,0.03228655,0.04054054,0.05434752,0.06952376,0.02371984,0.04624277
2005-01-19,0.07054228,0.07211083,0.04401579,0.04117647,0.18796583,0.19255313,0.23551789,0.22040816,0.07939193,0.08984824,0.06812522,0.07284768,0.06367579,0.07248866,0.03260415,0.04371584
2005-01-20,0.05945840,0.05833964,0.01557493,0.02145922,0.17201307,0.17833617,0.16808414,0.17573221,0.04558932,0.06172001,0.02050460,0.03448275,0.05964513,0.07065288,0.02996648,0.04784688
2005-01-21,0.05186508,0.05740818,0.01626846,0.01863354,0.17514851,0.17304380,0.20043504,0.18777292,0.05240787,0.05749188,0.01851203,0.02339181,0.04050997,0.05550353,0.01172303,0.03301886
2005-01-24,0.06232972,0.06180596,0.05014285,0.04605263,0.17923365,0.17825172,0.18393460,0.17127071,0.03264552,0.04221961,0.00409026,0.00657894,0.04555209,0.05169289,0.02200534,0.02912621
