date,independent_bank,independent_bubble,independent_contraction,independent_credit,independent_crisis,independent_depression,independent_derivative,independent_employment,independent_growth,independent_housing,independent_inflation,independent_interest,independent_job,independent_lehman,independent_mortgage,independent_recession,independent_recovery,independent_reform,independent_swap,independent_asset,independent_bankrup,independent_captital,independent_collapse,independent_collateral,independent_debt,independent_downgrade,independent_gdp,independent_house,independent_layoff,independent_loan,independent_property,independent_quantitative,independent_rate,independent_rating,dailymail_bank,dailymail_bubble,dailymail_contraction,dailymail_credit,dailymail_crisis,dailymail_depression,dailymail_derivative,dailymail_employment,dailymail_growth,dailymail_housing,dailymail_inflation,dailymail_interest,dailymail_job,dailymail_lehman,dailymail_mortgage,dailymail_recession,dailymail_recovery,dailymail_reform,dailymail_swap,dailymail_asset,dailymail_bankrup,dailymail_captital,dailymail_collapse,dailymail_collateral,dailymail_debt,dailymail_downgrade,dailymail_gdp,dailymail_house,dailymail_layoff,dailymail_loan,dailymail_property,dailymail_quantitative,dailymail_rate,dailymail_rating,financialtimes_bank,financialtimes_bubble,financialtimes_contraction,financialtimes_credit,financialtimes_crisis,financialtimes_depression,financialtimes_derivative,financialtimes_employment,financialtimes_growth,financialtimes_housing,financialtimes_inflation,financialtimes_interest,financialtimes_job,financialtimes_lehman,financialtimes_mortgage,financialtimes_recession,financialtimes_recovery,financialtimes_reform,financialtimes_swap,financialtimes_asset,financialtimes_bankrup,financialtimes_captital,financialtimes_collapse,financialtimes_collateral,financialtimes_debt,financialtimes_downgrade,financialtimes_gdp,financialtimes_house,financialtimes_layoff,financialtimes_loan,financialtimes_property,financialtimes_quantitative,financialtimes_rate,financialtimes_rating,guardian_bank,guardian_bubble,guardian_contraction,guardian_credit,guardian_crisis,guardian_depression,guardian_derivative,guardian_employment,guardian_growth,guardian_housing,guardian_inflation,guardian_interest,guardian_job,guardian_lehman,guardian_mortgage,guardian_recession,guardian_recovery,guardian_reform,guardian_swap,guardian_asset,guardian_bankrup,guardian_captital,guardian_collapse,guardian_collateral,guardian_debt,guardian_downgrade,guardian_gdp,guardian_house,guardian_layoff,guardian_loan,guardian_property,guardian_quantitative,guardian_rate,guardian_rating
"2005-01-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,0,2,0,33,2,0,16,3,1,1,1,38,11,25,14,3,0,7,1,0,5,0,2,0,6,3,0,35,1,3,20,0,8,1,0,54,2,2,1,0,0,0,0,0,1,14,0,2,4,1,0,0,0,2,1,0,1,0,2,1,0,0,0,3,1,0,0,0,0,7,0
"2005-01-04",6,0,0,2,1,0,0,4,10,3,11,2,3,0,1,1,0,3,0,2,0,0,0,0,11,0,1,9,0,0,0,0,7,1,4,0,0,0,0,0,0,1,1,5,1,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,4,0,4,0,23,1,2,9,9,0,0,9,31,0,10,14,6,1,2,0,1,7,0,9,0,7,2,0,3,1,5,0,0,1,2,0,54,3,1,0,0,0,0,0,0,10,1,10,5,6,13,0,2,0,1,4,0,2,0,1,1,0,0,0,0,16,0,1,1,0,18,1
"2005-01-05",31,0,0,5,0,0,0,4,12,27,8,10,3,5,15,4,3,0,0,1,0,4,5,0,3,1,3,28,0,6,10,0,29,2,9,0,0,10,0,0,0,0,2,1,1,14,5,0,12,0,0,0,0,0,0,1,1,0,10,0,0,4,0,7,4,0,18,0,64,1,1,45,5,0,5,13,46,23,20,22,20,6,21,0,4,19,6,9,0,13,3,0,46,3,4,30,0,11,20,0,67,11,9,0,0,4,0,0,0,4,9,2,1,3,4,0,10,0,0,1,0,0,0,0,1,0,12,0,1,4,0,2,1,0,6,0
"2005-01-06",4,1,0,1,1,0,0,4,22,2,4,5,7,0,0,1,2,0,0,2,0,1,0,0,0,0,3,3,0,0,0,0,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,1,14,2,0,1,7,38,3,14,36,2,2,2,0,4,2,1,4,0,8,2,0,54,0,3,8,0,2,2,0,91,8,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"2005-01-07",1,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,28,2,1,22,4,0,0,13,40,6,5,15,11,5,0,2,2,8,1,7,2,10,4,0,18,1,1,9,0,3,3,0,66,17,7,0,0,0,0,0,0,1,2,2,0,3,0,0,0,0,0,0,0,1,0,2,0,0,10,0,1,1,0,0,0,0,5,0
"2005-01-10",4,1,1,0,0,0,0,1,12,0,5,7,4,0,0,1,0,1,0,0,0,1,1,0,0,0,2,3,0,0,0,0,15,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,40,1,0,10,1,0,1,3,26,9,18,20,5,3,1,0,3,2,3,18,1,9,2,0,26,0,7,16,0,2,17,0,73,5,6,0,0,2,2,0,0,1,4,2,1,2,3,0,2,1,1,0,0,0,0,3,0,0,4,0,4,5,0,0,1,0,7,0
"2005-01-11",8,0,0,0,0,0,0,1,3,0,1,10,0,0,0,0,2,2,1,0,0,4,0,0,19,2,0,3,0,2,1,0,11,1,8,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,6,0,117,0,0,15,3,0,0,2,22,8,18,18,8,0,1,3,2,12,3,4,1,11,1,0,46,3,2,22,0,11,3,0,81,16,11,0,0,0,0,0,0,2,11,4,9,7,1,0,0,0,3,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0,18,0
"2005-01-12",4,1,0,4,0,0,0,1,5,3,1,1,1,0,2,0,0,0,0,0,3,1,1,0,7,0,2,6,0,2,0,0,3,3,7,0,0,0,0,0,0,1,2,3,0,9,0,0,9,0,0,0,0,0,0,2,0,0,1,0,0,5,0,8,2,0,43,0,48,1,0,20,1,0,1,6,32,8,8,27,10,0,0,0,5,1,4,5,4,14,2,0,49,4,2,19,0,4,1,0,88,13,0,0,0,0,0,0,0,1,4,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0
"2005-01-13",7,0,0,6,0,0,0,3,17,1,2,9,12,0,0,0,0,0,0,1,0,2,2,0,4,4,4,1,0,0,0,0,31,4,5,0,0,0,0,0,0,0,4,1,0,2,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,60,1,0,20,3,0,0,5,59,3,30,37,3,0,2,1,4,7,3,8,1,22,5,1,43,10,18,9,0,7,0,0,94,16,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,3,1,0,16,0,1,0,0,1,0,0,3,0
"2005-01-14",18,0,0,3,0,0,0,1,7,0,1,5,0,1,0,2,1,0,0,0,0,2,0,0,40,0,2,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,57,0,1,33,4,0,2,4,47,4,5,28,13,1,3,1,11,4,2,7,1,19,3,0,63,1,7,5,0,5,4,0,80,21,18,0,0,2,0,0,0,0,7,2,3,9,3,0,8,3,3,0,0,2,0,2,0,0,17,0,0,3,0,0,5,0,14,1
